content;Sentimen
SANGAT BURUK APLIKASI INI MEMPERSULIT MASYARAKAT.;Negatif
Respon verifikasi lamaaaa;Negatif
Sulit;Negatif
Susah sekali tuk daftar;Negatif
Merepotkan...negri terlalu banyak peraturan!!!;Negatif
Di pom bensin kan ada larangan penggunaan hp bagus cash aja biar tidak beresiko terjadi kebakaran;Positif
sampah;Negatif
Apk bdoh di persulit negara mending jadi korupsi hukuman ringan APK SM₱@#;Negatif
Bikin susah rakyat Cuma bikin susah Aplikasi gak jelas. Terlalu banyak atura , pergi cek email pas kembali ke aplikasi malah di suruh isi ulang data dari awal.;Negatif
Saya mau tanya ini apk ngarahnya dan tujuan nya apa.ini daftar aja nunggu 14 hari baru keluar code QPR.saya pribadi berpendapat belum bisa di aplikasikan ke masyarakat kalau sistem apknya masih banyak bug.setidaknya perbenahi dulu deh yg beli beli pakek jeregen.yg membuat Langka minyak.bukan yg pakai mobil.bayangkan yg beli jeregen sekali jalan ada 10 .isi satu jeregen 50 liter bandingkan sama kendaraan. Kami capek capek antri di SPBU.tiba tiba bahan bakar habis . terimakasih;Negatif
Ribet;Negatif
Bintang 1 untuk aplikasi ini yg tidak bs diinstal;Negatif
Bikin susah rakyat kecil,udh di download ga dapat kode QR nya,indonesia sedang tdak baiksaja;Negatif
Aplikasi nya kurang bagus masa udh masuk tinggal masukin ktp pasword nya slah trs;Negatif
Kenapa bermasalahnya difoto stnk yah,,, foto stnk tidak sesuai atau tidak terbaca dan file foto kenapa harus dibatasi 2mb sedangkan dihp saya 2mb itu burik banget gambarnya tolong di perbaiki!!! Beli pertalite aja sangat dipersulit;Negatif
total pembelian BBM tdk muncul...padahal setiap beli scan barcode;Negatif
Aplikasi gak jelas.. Error trus, aplikasi terjelek di play store, sepertinya mmg tidak niat kasih subsidi, setiap pengisian data selalu gagal. Dan harua ulang dari pertama;Negatif
.pk.ko.oml.m.l ..k.k..l.....k.k.l..k... .. mm k ol.o.l.kmmp o .. ..k.pp o o opol p plp pploop lopll ppl p popl l l p oll p ooop p ol opo o lol pp ol ..oo oop op o pp o;Negatif
Semoga gak gangguan jd gak gangguan juga buat ngisi BBM..;Positif
Aplikasi bodohhh menyusahkan Data sudah lengkap tapi ditolak Pergi ke tempat pertamina tidak ada solusi kata karyawan a memang paok aplikasi a;Negatif
Apl gajelass ga bisa masukk;Negatif
Siip;Positif
Aplikasinya tidak jelassss semoga bahagia di surga engkau yang membuat aplikasinya...;Negatif
Aplikasi nya susah sekali untuk orang yg awam tentang teknologi;Negatif
Mau daftar SUBSIDI Apa Mau JUAL MOBIL. Ribet banget segala nomor rangka dicantumin;Negatif
Jika pada saat pendaftaran salah memasukan email solusinya gmna min..? Soalnya konfirmasi kode otp ke email tdak muncul.. tolong di respon..;Negatif
Aplikasi susah di buka Lama sekali repot lagi Mau beli solar bayar aja ribet banget ihh;Negatif
gak jelas aplikasi nya...ribet mintak ampun..mau marah gak tau sma siapa;Negatif
Aplikasi ribet . Lebih gampang buat wassap . Birokrasi negeri wakanda emg gaje;Negatif
Terimakasih pemerintah yang telah memberikan program yang cukup baik dengan menargetkan BBM subsidi lebih agar lebih tepat sasaran. Namun dapat terlihat OKNUM DEVELOPER DAN PENANGGUNG JAWAB PEMBUAT APLIKASI INI SANGAT SANGAT MERESAHKAN SEMOGA TIDAK ADA TINDAK PIDANA KORUPSI YAA DALAM PENGADAAN APLIKASI INI;Positif
Tidak berguna sangat membangongkan;Negatif
Gak jelas udah daftar semua bener Pasword bener nik bener tapi gak bisa login wkekek aplikasi cacat;Negatif
Keren banget;Positif
Sdh sy ikuti sesuai petunjuk tp ga bisa jg;Negatif
Aplikasi buruk ,ortu kerjaan supir malah gk layak dpt program subsidi Bio Solar. Kalau bgini terus uang jalan bakal habis terus untuk ngisi BBM selain solar. Tolong di perbaiki lgi masalah subsidi bio solar..;Negatif
Aplikasi ampas, pas mau bayar eror bikin panjang antrian, bukan jadi efisien malah buang waktu;Negatif
Susah masuk ribet.;Negatif
Aplikasi gk jelas;Negatif
Gak bisa diapdet, cuma muter2 tdk karuan juntrungnya!!!!;Negatif
Mantap;Positif
Aplikasi nge bug;Negatif
Aplikasi gak jelas;Negatif
Cukup bagus;Positif
Aplikasi sampah, mau registrasi susahnya bukan main, mau ngisi data aja ga bs. Kayak mana mau pengadaan subsidi tepat, kalo aplikasi tidak memadai.;Negatif
Sudah sesuai 👍🏻👌🏻;Positif
Mau ngisi di pom sudah tidak bisa di apk keterangan belum terverivikasi sudah 2 minggu;Negatif
Membantu sakali;Positif
Kalau gak ada cashback gak perlu makai aplikasi, mlah ribet, mending cash, kalau gak bawa duit mending pakai mbanking spt Brimo gak 2 kali nyaldo;Negatif
Jos;Positif
Susah d operasikan;Negatif
data di aplikasi dah jelas motor ojol malah ga bisa bayar pertalite pake ovo/gopay;Negatif
Lebih tertib, tapi masih banyak CC diatas 1500 yg ikut antri;Positif
Aplikasi nyusahin rakyat, klo belum bisa melayani secara digital gak usah memaksakan...;Negatif
Good sangat mudah;Positif
Aplikasi Ribet...udah terdaftar..punya Barcode..eh sampai SPBU barcode nya tidak terkoneksi..daftar lagi harus ganti KTP.. Pokoknya ini aplikasi super ribet dari pertamina yg isinya katanya orang pintar semua...kalau ngga mau jual minyak sama masyarakat...tutup aja SPBU ngga usah bikin ribet kami yg sudah susah... F***CK;Negatif
ribetttf;Negatif
Sistem verifikasi terlalu berlebihan, udah login pakai password, harus masukin lagi kode verifikasi. Terus perlu login setiap buka aplikasi ga bisa autosave gitu?? Padahal ga penting banget isi aplikasi ini. Terus juga daftar udah berkali-kali tapi selalu ditolak dengan alasan foto STNK tidak sesuai atau tidak terbaca. Apa nama stnk harus sama dengan nama KTP?? Trus harus balik nama dulu??;Negatif
Masih coba coba;Positif
Satu langkah maju menuju perbaikan pelayanan publik;Positif
Sudah sering pakai selama ini ga ada masalah;Positif
Keren;Positif
👍;Positif
Mantap;Positif
Sudah daftar tapi saat di luar kota pembelian di batasi;Negatif
Aduhh;Negatif
Unpaedah;Negatif
Good;Positif
"Cuaca hujan"" Mobil jarang dipakai.";Positif
Coba dulu semoga membantu;Positif
Asli ngga beres ini aplikasi;Negatif
Masi cobak;Positif
DiSPBU sudah di larang mengunakan HP tapi Mengapa operaror menggunakan HP ketika pengisian BBM.;Negatif
Bermanfaat;Positif
Beri bintang 5 Coba dulu;Positif
Aplikasi bodoh. syarat ribet cara pendaftaran kayak masuk PNS;Negatif
Tingkatkan kualitas selalu;Positif
Buat ribet knnntl tinggal bayar aja susah kali konntl pemerintah;Negatif
Mmmoopppx, aaxe,;Negatif
Oke;Positif
Mau claim qr kodenya susah sekali. Aplikasi jelek maaf saya beri bintang 1 dulu;Negatif
Pertamina oke;Positif
Gak bisa terhubung dengan ovo, gopay dll;Negatif
Aplikasi apaan susah amat mau nambah data kendaraan aplikasi bobrok;Negatif
Susah banget dapat QR kode, STNK tidak jelas, silinder tidak sesuai, no polisi tidak sesuai dengan STNK dll, sue pokoknya;Negatif
Aplikasi tdk jelas aplikasi bikin susah masyarakat tdk jelas aplikasi ini bnyk bug nya bukannya membawa kebaikan tapi menambah kesusahannya;Negatif
pak sy cuma pengguna mobil jadul lah ko ya ribet gini, udah daftar malah ga bisa log in. kan ngehe. yang bener buat aplikasi;Negatif
Pengalaman aplikasi paling buruk.;Negatif
"ini gimana sih aplikasinya gak jelas banget, sudah melakukan pendaftaran berhasil, semua berhasil tapi kok pas mau isi bahan bakar bio solar malah dapat notifikasi ""dalam pengisian bahan bakar"" padahal di hari itu belum sama sekali untuk isi bahan bakar kenapa tiba-tiba dapat notifikasi dalam pengisian bahan bakar? ini gimana yang jelas juga lah merugikan dan nyusahin Masyarakat banget";Negatif
Ribet kali beli bbm aja. Mana ini matanya si menteri.;Negatif
Gak bisa bayar dan sinkron ke link ajah;Negatif
bagusss wowwwwww;Positif
Sorry, saya kurang menarik dengan program gak jelas ini;Negatif
Percuma make ini gak semua pom bensin bisa dan ngerti pake ini...niat mau mempermudah malah mempersulit;Negatif
Udah terdaftar tapi gak bisa ambil barcode, dan gak ada notifikasi ke email pas lupa password;Negatif
Sangat tidak membantukan;Negatif
Apakah benar ini aplikasi milik pertamina, soalnya saya tinggal di kampung yg tidak ada internet, bagaimana dg bahan bakar yang akan kami pakai. Mohon informasi. Salam;Positif
Percuma daftar berulang ulang kode juga sesuai tetep data tidak valid ,....;Negatif
Mana promonya ....ayo.. ayooo...;Positif
Payaaaaah.....,daftar subsidi ngehang terus;Negatif
aplikasi lemah. gak jelas . buat tambah ribet aja. mau isi bensin aja pake barcod segala gblk;Negatif
Mantapppp;Positif
Sukses selalu;Positif
Mantap;Positif
Sangat bermanfaat;Positif
Ribet;Negatif
Ribet;Negatif
Ribet cuyyyy;Negatif
Menarik;Positif
Keren, sangat membantu 😁;Positif
Maaf belum daftar;Negatif
Ok;Positif
kami mendeteksi anomali akses anda, pastikan vnda mengakses halaman ini dengan web browser terpercaya. ribet ya.. ud update chrome pun tetap gk di kasih login.. mau ubah data foto stnk juga tidak bisa click. malah sudah bilang terdaftar.. makin ribet.. semoga kesehatan kalian baik baik saja :);Negatif
Semoga bisa mempermudah para pengendara yang mau bayar lebih cepat;Positif
Sangat memuaskan, semoga kedepannya terus berkembang makin baik lagi.;Positif
the best;Positif
Pilihan pembayaran kurang banyak hanya ada satu pilihan aja buat minta barcode tidak bisa.. Padahal sudah terdaftar;Negatif
Mau masuk aplikasinya aja susah padahal sandi sudah benar dan sudah saya ulang ulang;Negatif
Bagus banget;Positif
Aplikasi terbodoh yg pernah sy lihat, saat login di pendaftaran minta verifikasi email, begitu buka email utk lihat kode verifikasi terus balik malah keluar dan refrash terpakasa login lagi dan minta kode verifikasi lagi buka email lagi, refresh lg login lagi minta kode verifilasi lagi, gitu terus, ga tau yg bego ini programernya atau pertaminanya, aplikasi cacat gini kok dipaksakan digunakan ke semua org;Negatif
Kasih bintang 5 biar lebih bagus lagi aplikasinya Keseringan susah masuk ke aplikasinya tolong di perbaruin;Positif
Sumpah gak guna, udah 3x ditolak pembayaran menggunakan mypertamina, saldo di linkaja bingung mau buat apa, buat narik aja admin 6500, buang aja lah aplikasi buatan anak bangsa(t);Negatif
Lumayan mudah kok;Positif
Mau daftar saja di persulit data sudah lengkap hanya karna lupa di simpan data hilang semua Giliran mau masuk lagi sudah ga bisa Tolong dong di perbaiki lagi cara daftarnya biar orang bodoh orang kampung kaya saya ini bisa daftar;Negatif
Sampai saat inj saya tidak.mendapatkan kode QR nya padahal sudah daftar dan sukses;Negatif
Mmlp😂l ppok;Negatif
Aplikasi benar benar menyusahkan. Kami mau beli pake uang sendiri, bukan mau minta....;Negatif
Verifikasi email tidak muncul;Negatif
aplikasi kepet berbelit2;Negatif
Belum bisa membantu sepenuhnya;Negatif
Data bisa hilang;Negatif
Baik sekali untk pengisian bbm;Positif
Aplikasi ribet, bikin susah orang aja;Negatif
"Server error' stnk tak jeles, lol apk sampah korup ae biar gjdi"" nih apk busuk";Negatif
App rusak;Negatif
Nanti berhasil saya fullkan bintangnya;Positif
Gak jelas..;Negatif
Aplikasinya error setiap isi bbm, baru tidak bisa bayar manual karena masih tercatat di aplikasi;Negatif
Puas sekali;Positif
Mau beli bbm saja dipersulit..;Negatif
Budi;Positif
Buruk.. Membingungkan, mau beli BBM tp seolah kyk mau ngemis BBM ke negara 🙄😑😤;Negatif
Apk gajelas,sangat 2 gajelas,menyulitkan yg ada;Negatif
Bagus;Positif
Memang mungkin di buatnya seperti ini agar subsidi tepat sasaran atau SPBU dapat bekerja dengan benar, akan tetapi cara mengevaluasi sistemnya kurang baik, pengguna masih dibuat bingung dan ribet oleh sistem digitalnya MY PERTAMINA.;Negatif
Repot untuk isi saldo gak jelas coba langsung tranfer dari bank kan enak ngapain perlu aplikasi pihak ke3 muter2. Aplikasi belum siap. Sudah di keluarkan. Cek sistem lu;Negatif
Gnti prsdn!!!;Negatif
Buat sementara bintang 5 dulu, nanti kita lihat lg;Positif
Tidak ada sms konfirmasi;Negatif
Apk nya gak jelas;Negatif
Bagus bagus bagus;Positif
Ribet amat hidup di indonesia;Negatif
buruk;Negatif
mantap;Positif
Apk Jelek Banget, gag bagus sama sekali.. buat rakyat Susah aja.. apk susah di akses, upload foto sulit, loading lama, tidak ada notif..;Negatif
Gak masuk akal....daftar data udah bener pun masih saja kurang....sekarang malah gak bisa di bukak apk nya....;Negatif
Hanya di Pertamina SPBU 3440518 beli pertalite 10 liter yang didapat hanya 3 liter masuk tangki mobil. Sisanya disedot lagi lansung sebelum keluar corong pompa.;Negatif
Cara daftar bikin aku mumet;Negatif
Saya sudah foto stnk dengan jelas .katanya gak jelas terakhir di tolak. Udah itu gak bisa di edit lagi data ny gimana la mau isi solar kalau begini barcode gak keluar.....;Negatif
Sekelas pertamina tpi aplikasi nya paling ribet atau buruk sekali 😡😡😠😠😠😠😠;Negatif
Mantab;Positif
Good job .;Positif
Sangat memudahkan;Positif
Sangat membantu;Positif
Ga bisa daftar,masalah file melebihi kapasitas,padahal foto udah jelas dari galeri/foto langsung sama aja.pendaftaran aja gbisa² yg kerja makan gaji buta,kerjaannya ke sampah.ga sesuai dengan kemampuannya heran org ke gtu kga dipecat² hahaha, lawak bgt;Negatif
Gaje;Negatif
capek deh;Negatif
Baik;Positif
Aplikasi kurang membantu , karena pembaharuan data harus menunggu 14 Hari , Terus Upload Stnk mau nya gambar jelas , eh tiba tiba jelas Batas nya lebih dari 2 MB , kan lucu , next mohon diperbaiki lagi developer agar dapat membantu masyarakat menggunakan Hak nya sebagai Warga negara indonesia , Terima kasih .;Negatif
Ga mutu;Negatif
Nanti d tamba bintangnya;Positif
Aplikasi gembel,, cuma muter muter doang;Negatif
alhamdulillah...sudah susah makin dibuat susah;Negatif
G jelas;Negatif
buruk. saya belum pernah mengisi solar, kok tiba2 kuotanya sudah terpakai 59L. gimana ceritanya. barcodenya juga baru dibikin. lahh.... di hari yg sama juga sebelumnya belum pernah ngisi bbm... bahkan hingga 2 hari sebelumnya juga belum pernah ngisi. apa makudnya ini. sistem barcodenya ngasal. parah.;Negatif
MANTAP MYPERTAMINA KU. JOOS TERUS;Positif
Udah beli bahan bakar di persulit,,trus pas di daftarkan di my pertamina gagal terusss. parahh emng..... Semakin sulit aja indo ini;Negatif
Aplikasi yang sangat buruk untuk di gunakan. Harusnya kode verifikasi itu konek dengan g mail. Atau terisi secara otomatis bukan buka aplikasi baru kode verifikasi muncul. Sangat ribet di gunakan,kalau tidak bisa isi secara otomatis dari g mail yang masuk mending aplikasi ini di buang saja. Hanya menghabiskan kuota.;Negatif
👍;Negatif
Bagaimana caraxa mereset Nik terdaftar?;Positif
Baik;Positif
aplikasi penyusah orang;Negatif
Ok;Positif
Kalau ada ratting 0 aku kasih rating 0, slow respon, ganti password error terus, udah ganti hp tetep saja error, tolong perbaiki sistemnya jangan cuma di baca, tapi di bales juga !!;Negatif
Dt;Negatif
Sukses selalu pertamina;Positif
Sangat buruk Sering kembali sendiri Pasford yg benar di salahkan sehingga berulang kali membuat pasford baru;Negatif
Kalo aplikasi belum jadi ,jangan suruh masyarakat ikut aturan dong ,aplikasi sampah;Negatif
Jujur menyusahkan BG yg gaptek yg GK PGN mkir yg pusing2.yg GK mkirin hp android tp PGN BS isi Pertalite.hadeeh ribet bget jadinya.mboh yg mudah aja Napa ya pak...pak...kalo beli itu bayar ya bayar ajalah.gpy ya GK BS beli gitu loh.wong GK semua orang jg M-banking an pak...Kudu bikin Aplikasi mulu.blg aza mbok rakyatnya GK usah py mobil gitu sekalian,dg alasan bla bla...kn yg PGN py mobil ky saya jg akan mikir.ya GK c...???🤔🤔🤔🤨😌;Negatif
ini apalikasi yang terburuk sedunia.. permasalahan nya napol sudah di gunaka dan bisa pula mobil solar jadi pertalit..;Negatif
2 bintang aja karna bikin ribet , pakai no nik segala ky yg mau di kasih hadia rumah aja wkwkwkkk;Negatif
Apa yg blom lengkap;Positif
Memperlambat aja buat isi BBM.. harus isi saldo dulu harus bayar Tranfer ke link aja.;Negatif
Keren;Positif
Tidak dapat digunakan;Negatif
Aplikasi buruk yg membagongkan. Rakyat bukan di permudah,malah dipersulit dengan aplikasi dungu ini;Negatif
Ok;Positif
Top;Positif
Sangat sangatlah buruk bagaimana dengan orang kampung yang tak mengerti apa apa yg harus menggunakan aplikasi ini;Negatif
Bobrokkkk;Negatif
Aplikasi JEMBOT;Negatif
Susah banget ya daftar ?;Negatif
sekelas pertamina;Positif
Hadehhh;Negatif
ribet;Negatif
Buruk;Negatif
Saya sulit utk dpt barcodenya;Negatif
Harusnya sudah terverifikasi dengan Pembayaran Aplikasi Dana;Negatif
Bagus;Positif
Gambar plat mobil tidak kelihatan. Gimna mau klihatan klo upload di batasi cumn 2mb sedangkan mobil yg di foto panjang dan lebar dan pasti lebih dari 2mb .kalo mau di turunin kualitas ny pasti di foto jadi blur tambah ga kliatn;Negatif
Bingung 2. 7 keliling Didaerah petugas lebih bingung. Mbok ditraning .;Negatif
ribet.....;Negatif
MyPertaek terlalu kakean tereret wek...;Negatif
Apk menyusahkan;Negatif
Aplikasi error sok2an ngajurin make.. Dari tadi daftar gak masuk ke fformulir nya Tolol bet;Negatif
Siippp;Positif
My pertamina;Positif
Sudah berulang2 daftar sampai sekarang blm dpt barcodenya pesan verifikasi kode tdk terkirim ke email...;Negatif
STNK dan photo mobil tak terbaca terus;Negatif
Udah setahun daftar, sampai sekarang belum dapat barcode;Negatif
Aplikasi taik.... Sudah didaftar berulang kali tetap tidak bisa, trus bahasa menunggu verifikasi sampai sekarang tidak di verifikasi Aplikasi sampah;Negatif
Aplikasi gak guna;Negatif
Ok;Positif
Puas;Positif
Aplikasi jelek sering error Udah daftar tapi selalu tidak menerima email verivikasi, malahan sekarang nik dibilang sudah digunakan;Negatif
Menyusahkan masyarakat;Negatif
Membantu;Positif
Aplikasi susah;Negatif
Mau sinkron ke link aja saja tidak bisa, gak jelas aplikasi nya;Negatif
Sudah daftar, dan sudah diverifikasi oleh petugas. Waktu claim barcode, data tidak ditemukan. Sehat? Kalo kurang dana, buat pengembangan aplikasi bilang. Plat merah kok kalah sama swasta aplikasinya.;Negatif
Aplikasi BUMN tak berfaedah sangat mempersulit jika dianjurkan dengan kebijakan pemerintah rakyatnya ngikut tapi sarananya gak sesuai yg diharapkan masak daftar sampai sekarang gak bisa bisa padahal masih daftar diaplikasi atau website;Negatif
Entah apa manfaatnya buat masyarakat bawah...yg ada malah nyusahin;Negatif
Sudah daftar untuk isi BBM jenis solar semua sudah di ikuti langkah2 nya tapi tetap aja di tolak,.apa yg salah..ga usah di download lah;Negatif
Mau isi minyak ribet amat pake barcode barcode segala.. pindah ke SHELL aja;Negatif
Gk bisa login;Negatif
Aplikasi buat susah... untung isi sheal;Negatif
Buat susah rakyat aja;Negatif
Sibuk mau usulkan my pertamini tpi kinerja apk ny gk jelass perbaiki dulu laaa kinerja baru nyuruh org donwload 👎👎👎;Negatif
Buruk kli gk berguna apk yah sok sok an pke apk;Negatif
Apk gk berguna mau mendaftar ajh gk bisa klu bel bisa pake apk gk ush sok sok an pake apk !!!;Negatif
Cepat responnya;Positif
kurang paham akan maksud dan tujuan nya;Negatif
Agak ribet;Negatif
Aplikasi yg belum sempurna tapi masyarakat di paksa menggunakan nya.. Sudah di isi sesuai ke inginan tetap aja gk bisa Mempersulit masyarakat .;Negatif
Bagus;Positif
Aplikasi nya bagaimana sih,,, tidak bisa aktivasi link aja,,,, jaringan internet saya stabil,,, kok bisa jaringan internet nya tidak koneksi pada saat mau aktivasi;Negatif
Mantap;Positif
Banyak bug, ga bisa login padahal sinyal internet bagus;Negatif
Ok;Positif
ini aplikasi nya mau daftar kendaraan eror terus, di bilang data roda kendaraan belum di isi, di cari cari form roda nya ga muncul, ujung-ujungnya jadi nyusahin ini, tangki minyak uda kosong di suruh isi aplikasi yg masih banyak bug nya;Negatif
Dipersulit;Negatif
Hari ini ditolak isi bio solar, Krn belum mengunduh aplikasi my pertamina;Negatif
Aplikasi menyusahkan, BUMN menyusahkan,dibuatkan akun sama penjaga SPBU tp g dikasi tau password,pas mau ganti password ga masuk2 email-nya,dasar aplikasi amatir;Negatif
Pendaftaran susah...menyusahkan harga bbm naik. Ribet kali si riko tohir;Negatif
Repot bener negara ni anjir, isi minyak mobil dijatahin 100 ribu;Negatif
Sangat membantu;Positif
ok;Positif
bersyukur lah klean, gara-gara aplikasi ini klean bisa main hp di pom, yang padahal dulu dilarang.;Negatif
Bagaimana untuk mendapatkan barcot my pertamina ? Sedangkan saya sudah mendaftar di aplikasi;Negatif
Lancar;Positif
Aplikasi bikin susah aja;Negatif
Masih dipelajari;Positif
Saya daftar innova diesel saya ko gak bisa ya;Negatif
Dicoba dulu;Positif
Untuk keseluruhan saya nilai bagus tapi mohon di perbaiki untuk layanan subsidi karna jatah subsidi BBM sering ilang atau berkurang jatahnya padahal belum dipakai..;Positif
Kicik binggittt;Negatif
Ribet aplikasinya, bukan nambah cepet malah lama antrian, klo bs sulit kenapa cari yang mudah, itulah kalimat yg pas buat pertam*nana;Negatif
Tdk bisa ngisi Data diri;Negatif
Mau daftar koq ribet, dasar aplikasi sampah;Negatif
Saya sudah mengirimkan smua data saya dengan jelas mengapa hasilnya selalu gagal mohon bantuannya min;Negatif
Ok;Positif
Mimpi kali ya mau menyamai Petronas. Aplikasi terburuk untuk sekelas Pertamina.;Negatif
Aplikasi terburuk banyak bug;Negatif
Aplikasi ini adalah hasil dri kebodohan yg di bungkus kecanggihan teknologi;Negatif
Pelayanan di POM Bensin Pertamina Bagus dan cepat;Positif
Saya merasa tidak puas. Sangat tidak puas.;Negatif
Awokwok sangat lah susah;Negatif
aplikasinya nge bug, daftarnya susah. kalau belum siap untuk beralih ke aplikasi, lebih baik manual aja dulu. aplikasi belum mampu untuk menampung jutaan konsumen yg mau daftar aplikasi. bukan tidak mendukung kebijakan pemerintah. tapi ini kebijakan yang dipaksakan;Negatif
Masa ru download trus daftar tapi disitu bilangnya no sudah terdaftar;Negatif
App tidak berguna;Negatif
Ngeribetin;Negatif
Payah;Negatif
Coba dulu;Positif
Aplikasi paling mengecewakan, setelah berkali2 daftar sendiri gak bisa juga akhirnya minta bantuan petugas pertamina. Udah jadi, eh..kanapa bahan bakar mobil yang tertera di barcode nya biosolat dan sampai sekarang blm bisa diperbaiki😡😡😡😡;Negatif
Aplikasi apaan ini, mau daftar buka aplikasi hanya sampai logo aja.... Kalau belum siap, jangan coba-coba bung... Bukannya mempermudah malah mempersulit bung...;Negatif
Aplikasi buruk. Batas upload foto hanya 2mb. Gak ada faedahnya menggunakan ini. Tp HARUS aja.;Negatif
Mantap banyak kegunaan nya terimakasih my Pertamina;Positif
Lebih mudah info cari pom terdekat;Positif
Cacat, gabisa open app 👎;Negatif
Payah kali daftar nya,ini aplikasi membuat orang makin sulit;Negatif
Ok;Positif
Aneh mau klaim kode QRnya gk bisa. Hrus pake kode klaim. Sedangkan dpt kode klaim dr mana? Hrus lewat web lupa pasword klaim. Klo msuk aplikasi lgi dibilang nik dan nopol gk sesuai. Hadeh bener2 ribet;Negatif
Entah gw harus berapa kali login di hape gw sendiri. Dari aplikasi ini gw berhasil ngapalin nomer KTP gw. At least satu manfaat yang bisa gw peroleh dari aplikasi ini, sekian terima kasih.;Negatif
Ok;Positif
Tiap masuk subsidi tepat login masukkan Nik dan password kemudian nunggu kode Verifikasi di email... Setiap buka begitu, mengapa ga sekali aj,.. Merepotkan.. Malah password sering ga sesuai katanya tpi fitur matanya ga ad.. Ini yg ciptakan aplikasi saya sarankan dipecat..;Negatif
Al hamdulillah pelayanan bagus ga bikin kecewa trims;Positif
Aplikasi bikin bingung masyarakat menengah ke bawah beli bbm juga mulai dibatasi ya kalau sudah pada ngerti aplikasi kalau masih belajar ya agak kebingungan;Negatif
Pelayanan kurang puas;Negatif
Negara membayar uang banyak setiap bulan untuk para pegawai pertamina yang membuat aplikasi saja bodoh gak praktis. Maaf saya emosi karena mobil Daihatsu Feroza saya otomatis terdaftar di biosolar dan saya daftar sendiri dapat email foto STNK ditolak, lalu daftar lagi dan masalah lagi NIK telah terdaftar. Saya harus bagaimana ini wahai orang2 bodoh yang maha benar di negeri ini saya hanya bisa beli pertalite eceran;Negatif
nyusahin aja bisanya, di buat stres, aplikasi ga guna, akses semua susah, segala permintaan hapus akun pun susah, benar2 ga guna, semuanya terlalu susah ngalah²in aplikasi yg bagus aja, ga guna, hapus aja mypertamina, hapuus!!!🖕🖕🖕🖕🖕🖕🖕🖕🖕 ga membantu masyarakat sama sekali, buat beban aja, semua akses susah, baiknya pengahapusan akun/reset nopol tu d permudah, melebihi izin mau pindah negara aja, nyusahin🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕;Negatif
Apk tidak guna daftar sulit.. Disuruh daftar ke spbu terdekat malah diminta uang kalau mau cepat 50rb.. Spbu pinang baris medan tuh utama;Negatif
aplikasi cacatt;Negatif
Ngaco;Negatif
Aplikasi tolol gak bisa di daftarkan makin aneh aja negara konoha ini;Negatif
Kebijakan yang amat menyusahkan bikin mumet , semoga yang bikin kebijakan di beri ganjaran yang setimpal Aamiin orang2 dzolim terlaknat;Negatif
sudah daftar dengan teliti dan data diri sudah di isi. begitu mau klaim barcode tulisannya data pengguna tidak ditemukan. benar2 apk yang buruk;Negatif
Mantab..;Positif
Membingungkan masyarakat;Negatif
Login selalu gagal. Banyak liku². Belit belit. Kalau mau dipake sesuai. Dibikin yg mudah.;Negatif
Aplikasi nyusahin rakyat, udah masukin semua data tetep gak bisa kedaftar, suruh aja semua org indonesia pake sepeda jangan lagi jual motor ama mobil;Negatif
Mantap. Maju dan bertumbuh dengan benar Indonesia ku.;Positif
Woi yg bener aja baru daftar belum sampe 5 detik masuk dah gak bisa bisa bikin app gak apa ngelawak aja Namanya aja yg besar isinya korup semua;Negatif
Slowly;Negatif
Mempersulit aja anjg, jadi susah bapak ku isi minyak, padahl mobil tua nya. Pntk.;Negatif
sangat buruk, mereka tidak memandang orang yg tidak punya hp android, belum tentu semua mempunyai hp android, dan belum tentu jaringan disana bagus² seperti di kota, ini sangat buruk bagi saya pertama kali masuk langsung bug aplikasi, dan banyak sekali bugnya bukan satu doang, tolong di perbaiki dan di mengerti.;Negatif
Ok;Positif
Susah daftar nya udah loging ke pendaftaran nya udah berberapa kali masukan nik dan paswod salah semua. Ribet maypertamaina tolong di permudah pendaftaran nya;Negatif
Buat peraturan tpi bikin aplkasi sprti ini KONYOL;Negatif
terlalu berbelit buat yg simple saja;Negatif
Aplikasi laknat....yang buat aplikasi ini dosanya pasti besar....nyusahin;Negatif
Good servis;Positif
Udah lama daftar eh rupanya ditolak lucu lucu.. SAYA DOWNLOAD KARENA TERPAKSA KLOK GAK DOWNLOAD GAK BISA BERAKTIFITAS WKWKWK;Negatif
Nyusahhke polllllll;Negatif
Mantap lah;Positif
tidak sesuai expentasi;Negatif
Sangat memperibet;Negatif
Bagus sekali biar tidak sibuk;Positif
Baik;Positif
Aplikasinya ribet tidak praktis. Dan sering trouble saat bayar di spbu.;Negatif
Aplikasi gk jelas Mau daftar tetap gak bisa buat repot;Negatif
Aplikasi gak guna;Negatif
Semenjak ada my Pertamina di berlakukan di koto kota contohnya di kerinci Jambi saya ada punya mobil 2 TPI pas sampai pom bensin di bilang udah selesai di gunakan barcode my Pertamina saya tolong di tingkatkan lagi pelayanannya soalnya udah 3 buan gak bisa isi BBM lagi buat mobil dan sekarang cuma bisa pake motor mau kemana saja;Negatif
Aplikasi pemerintah yg superrrr ribettttt;Negatif
Bagus;Positif
Terima kasih atas aplikasi nya;Positif
The best;Positif
Pejari dlu bru komen,, bagus2 aja ku liat;Positif
Bermanfaat;Positif
